speaker,title,topic,year,month,link
Janette Hales Beckham,The Power of Goodness, government,10,1995,https://www.churchofjesuschrist.org/general-conference/1995/10/the-power-of-goodness?lang=eng
George P. Lee,"“Acquaint Thyself with Him, and Be at Peace”", government,10,1980,https://www.churchofjesuschrist.org/general-conference/1980/10/acquaint-thyself-with-him-and-be-at-peace?lang=eng
Mark E. Petersen,The Savor of Men, government,10,1976,https://www.churchofjesuschrist.org/general-conference/1976/10/the-savor-of-men?lang=eng
L. Tom Perry,For the Time Will Come When They Will Not Endure Sound Doctrine, government,10,1975,https://www.churchofjesuschrist.org/general-conference/1975/10/for-the-time-will-come-when-they-will-not-endure-sound-doctrine?lang=eng
Hartman Rector Jr.,The World’s Greatest Need, government,10,1975,https://www.churchofjesuschrist.org/general-conference/1975/10/the-worlds-greatest-need?lang=eng
Harold B. Lee,Teach the Gospel of Salvation, government,10,1972,https://www.churchofjesuschrist.org/general-conference/1972/10/teach-the-gospel-of-salvation?lang=eng
Dallin H. Oaks,Love Your Enemies, laws,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/17oaks?lang=eng
Dallin H. Oaks,Love and Law, laws,10,2009,https://www.churchofjesuschrist.org/general-conference/2009/10/love-and-law?lang=eng
James E. Faust,Obedience: The Path to Freedom, laws,04,1999,https://www.churchofjesuschrist.org/general-conference/1999/04/obedience-the-path-to-freedom?lang=eng
L. Tom Perry,Youth of the Noble Birthright, laws,10,1998,https://www.churchofjesuschrist.org/general-conference/1998/10/youth-of-the-noble-birthright?lang=eng
William R. Bradford,The Safety of the Gospel Law, laws,10,1977,https://www.churchofjesuschrist.org/general-conference/1977/10/the-safety-of-the-gospel-law?lang=eng
L. Tom Perry,“As a Man Soweth”, laws,04,1976,https://www.churchofjesuschrist.org/general-conference/1976/04/as-a-man-soweth?lang=eng
N. Eldon Tanner,The Laws of God, laws,10,1975,https://www.churchofjesuschrist.org/general-conference/1975/10/the-laws-of-god?lang=eng
ElRay L. Christiansen,The Laws of God Are Blessings, laws,04,1975,https://www.churchofjesuschrist.org/general-conference/1975/04/the-laws-of-god-are-blessings?lang=eng
D. Todd Christofferson,Sustainable Societies, Light of Christ,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/22christofferson?lang=eng
Dieter F. Uchtdorf,A Yearning for Home, Light of Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/a-yearning-for-home?lang=eng
Dieter F. Uchtdorf,Bearers of Heavenly Light, Light of Christ,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/bearers-of-heavenly-light?lang=eng
Mark A. Bragg,Brighter and Brighter until the Perfect Day, Light of Christ,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/brighter-and-brighter-until-the-perfect-day?lang=eng
Vern P. Stanfill,Choose the Light, Light of Christ,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/choose-the-light?lang=eng
Quentin L. Cook,Let There Be Light!, Light of Christ,10,2010,https://www.churchofjesuschrist.org/general-conference/2010/10/let-there-be-light?lang=eng
Dallin H. Oaks,Love Your Enemies, love,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/17oaks?lang=eng
Michelle D. Craig,Eyes to See, love,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/14craig?lang=eng
Russell M. Nelson,The Second Great Commandment, love,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/46nelson?lang=eng
Neil L. Andersen,Fruit, love,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/56andersen?lang=eng
Dallin H. Oaks,Two Great Commandments, love,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/35oaks?lang=eng
Hans T. Boom,"Knowing, Loving, and Growing", love,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/52boom?lang=eng
Kyle S. McKay,The Immediate Goodness of God, love,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/55mckay?lang=eng
Quentin L. Cook,Great Love for Our Father’s Children, love,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/43cook?lang=eng
Gerrit W. Gong,Our Campfire of Faith, love,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/our-campfire-of-faith?lang=eng
Dieter F. Uchtdorf,"Believe, Love, Do", love,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/believe-love-do?lang=eng
Robert C. Gay,Taking upon Ourselves the Name of Jesus Christ, love,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/taking-upon-ourselves-the-name-of-jesus-christ?lang=eng
Cristina B. Franco,The Joy of Unselfish Service, love,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/the-joy-of-unselfish-service?lang=eng
Henry B. Eyring,Women and Gospel Learning in the Home, love,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/women-and-gospel-learning-in-the-home?lang=eng
Ulisses Soares,One in Christ, love,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/one-in-christ?lang=eng
Henry B. Eyring,"Try, Try, Try", love,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/try-try-try?lang=eng
Jeffrey R. Holland,“Be With and Strengthen Them”, love,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/be-with-and-strengthen-them?lang=eng
