speaker,title,topic,year,month,link
Robert D. Hales,Hear the Prophet’s Voice and Obey, prophets,04,1995,https://www.churchofjesuschrist.org/general-conference/1995/04/hear-the-prophets-voice-and-obey?lang=eng
Robert D. Hales,The Importance of Receiving a Personal Testimony, prophets,10,1994,https://www.churchofjesuschrist.org/general-conference/1994/10/the-importance-of-receiving-a-personal-testimony?lang=eng
L. Tom Perry,Heed the Prophet’s Voice, prophets,10,1994,https://www.churchofjesuschrist.org/general-conference/1994/10/heed-the-prophets-voice?lang=eng
James E. Faust,The Keys That Never Rust, prophets,10,1994,https://www.churchofjesuschrist.org/general-conference/1994/10/the-keys-that-never-rust?lang=eng
Howard W. Hunter,“Exceeding Great and Precious Promises”, prophets,10,1994,https://www.churchofjesuschrist.org/general-conference/1994/10/exceeding-great-and-precious-promises?lang=eng
L. Aldin Porter,The Revelations of Heaven, prophets,10,1994,https://www.churchofjesuschrist.org/general-conference/1994/10/the-revelations-of-heaven?lang=eng
Hans B. Ringger,“What Shall We Do?”, prophets,04,1994,https://www.churchofjesuschrist.org/general-conference/1994/04/what-shall-we-do?lang=eng
Gordon B. Hinckley,The Church Is on Course, prophets,10,1992,https://www.churchofjesuschrist.org/general-conference/1992/10/the-church-is-on-course?lang=eng
Gary J. Coleman,Jesus Christ Is at the Center of the Restoration of the Gospel, prophets,10,1992,https://www.churchofjesuschrist.org/general-conference/1992/10/jesus-christ-is-at-the-center-of-the-restoration-of-the-gospel?lang=eng
Gordon B. Hinckley,Sin Will Not Prevail, prophets,10,1992,https://www.churchofjesuschrist.org/general-conference/1992/10/sin-will-not-prevail?lang=eng
John E. Fowler,Becoming Wise unto Salvation, prophets,10,1992,https://www.churchofjesuschrist.org/general-conference/1992/10/becoming-wise-unto-salvation?lang=eng
Thomas S. Monson,At Parting, prophets,10,1992,https://www.churchofjesuschrist.org/general-conference/1992/10/at-parting?lang=eng
Thomas S. Monson,"Memories of Yesterday, Counsel for Today", prophets,04,1992,https://www.churchofjesuschrist.org/general-conference/1992/04/memories-of-yesterday-counsel-for-today?lang=eng
Neal A. Maxwell,“My Servant Joseph”, prophets,04,1992,https://www.churchofjesuschrist.org/general-conference/1992/04/my-servant-joseph?lang=eng
Gordon B. Hinckley,“Believe His Prophets”, prophets,04,1992,https://www.churchofjesuschrist.org/general-conference/1992/04/believe-his-prophets?lang=eng
Gordon B. Hinckley,Christ Is the Light to All Mankind, prophets,10,1991,https://www.churchofjesuschrist.org/general-conference/1991/10/christ-is-the-light-to-all-mankind?lang=eng
Thomas S. Monson,“The Lord Bless You”, prophets,10,1991,https://www.churchofjesuschrist.org/general-conference/1991/10/the-lord-bless-you?lang=eng
M. Russell Ballard,The Family of the Prophet Joseph Smith, prophets,10,1991,https://www.churchofjesuschrist.org/general-conference/1991/10/the-family-of-the-prophet-joseph-smith?lang=eng
Gordon B. Hinckley,His Latter-day Kingdom Has Been Established, prophets,04,1991,https://www.churchofjesuschrist.org/general-conference/1991/04/his-latter-day-kingdom-has-been-established?lang=eng
Russell M. Nelson,Listen to Learn, prophets,04,1991,https://www.churchofjesuschrist.org/general-conference/1991/04/listen-to-learn?lang=eng
Rulon G. Craven,Prophets, prophets,04,1991,https://www.churchofjesuschrist.org/general-conference/1991/04/prophets?lang=eng
Henry B. Eyring,To Draw Closer to God, prophets,04,1991,https://www.churchofjesuschrist.org/general-conference/1991/04/to-draw-closer-to-god?lang=eng
Gordon B. Hinckley,“This Work Will Go Forward”, prophets,10,1990,https://www.churchofjesuschrist.org/general-conference/1990/10/this-work-will-go-forward?lang=eng
L. Tom Perry,“Serve God Acceptably with Reverence and Godly Fear”, prophets,10,1990,https://www.churchofjesuschrist.org/general-conference/1990/10/serve-god-acceptably-with-reverence-and-godly-fear?lang=eng
Glenn L. Pace,A Thousand Times, prophets,10,1990,https://www.churchofjesuschrist.org/general-conference/1990/10/a-thousand-times?lang=eng
Waldo P. Call,Follow the Prophets, prophets,10,1990,https://www.churchofjesuschrist.org/general-conference/1990/10/follow-the-prophets?lang=eng
Joseph B. Wirthlin,The Straight and Narrow Way, prophets,10,1990,https://www.churchofjesuschrist.org/general-conference/1990/10/the-straight-and-narrow-way?lang=eng
J Ballard Washburn,Follow the Prophet, prophets,10,1990,https://www.churchofjesuschrist.org/general-conference/1990/10/follow-the-prophet?lang=eng
Thomas S. Monson,“God Be with You Till We Meet Again”, prophets,10,1990,https://www.churchofjesuschrist.org/general-conference/1990/10/god-be-with-you-till-we-meet-again?lang=eng
Thomas S. Monson,Conference Is Here, prophets,04,1990,https://www.churchofjesuschrist.org/general-conference/1990/04/conference-is-here?lang=eng
M. Russell Ballard,Small and Simple Things, prophets,04,1990,https://www.churchofjesuschrist.org/general-conference/1990/04/small-and-simple-things?lang=eng
Carlos E. Asay,“One Small Step for a Man; One Giant Leap for Mankind”, prophets,04,1990,https://www.churchofjesuschrist.org/general-conference/1990/04/one-small-step-for-a-man-one-giant-leap-for-mankind?lang=eng
Gordon B. Hinckley,Rise to a Larger Vision of the Work, prophets,04,1990,https://www.churchofjesuschrist.org/general-conference/1990/04/rise-to-a-larger-vision-of-the-work?lang=eng
Clinton L. Cutler,The Greatest Joy, prophets,04,1990,https://www.churchofjesuschrist.org/general-conference/1990/04/the-greatest-joy?lang=eng
L. Aldin Porter,Follow the Brethren, prophets,10,1987,https://www.churchofjesuschrist.org/general-conference/1987/10/follow-the-brethren?lang=eng
Neal A. Maxwell,“God Will Yet Reveal”, prophets,10,1986,https://www.churchofjesuschrist.org/general-conference/1986/10/god-will-yet-reveal?lang=eng
Joseph Anderson,Presidents of the Church, prophets,10,1986,https://www.churchofjesuschrist.org/general-conference/1986/10/presidents-of-the-church?lang=eng
David B. Haight,A Prophet Chosen of the Lord, prophets,04,1986,https://www.churchofjesuschrist.org/general-conference/1986/04/a-prophet-chosen-of-the-lord?lang=eng
Gordon B. Hinckley,Come and Partake, prophets,04,1986,https://www.churchofjesuschrist.org/general-conference/1986/04/come-and-partake?lang=eng
Francis M. Gibbons,Sixteen Years as a Witness, prophets,04,1986,https://www.churchofjesuschrist.org/general-conference/1986/04/sixteen-years-as-a-witness?lang=eng
Loren C. Dunn,Receiving a Prophet, prophets,04,1983,https://www.churchofjesuschrist.org/general-conference/1983/04/receiving-a-prophet?lang=eng
Mark E. Petersen,Follow the Prophets, prophets,10,1981,https://www.churchofjesuschrist.org/general-conference/1981/10/follow-the-prophets?lang=eng
LeGrand Richards,Call of the Prophets, prophets,04,1981,https://www.churchofjesuschrist.org/general-conference/1981/04/call-of-the-prophets?lang=eng
James E. Faust,Communion with the Holy Spirit, prophets,04,1980,https://www.churchofjesuschrist.org/general-conference/1980/04/communion-with-the-holy-spirit?lang=eng
William Grant Bangerter,The Voice of the Lord Is unto All People, prophets,10,1979,https://www.churchofjesuschrist.org/general-conference/1979/10/the-voice-of-the-lord-is-unto-all-people?lang=eng
Barbara B. Smith,Women’s Greatest Challenge, prophets,10,1978,https://www.churchofjesuschrist.org/general-conference/1978/10/womens-greatest-challenge?lang=eng
Ruth H. Funk,"“Come, Listen to a Prophet’s Voice”", prophets,10,1978,https://www.churchofjesuschrist.org/general-conference/1978/10/come-listen-to-a-prophets-voice?lang=eng
Carlos E. Asay,“Look to God and Live”, prophets,10,1978,https://www.churchofjesuschrist.org/general-conference/1978/10/look-to-god-and-live?lang=eng
Elaine A. Cannon,"If We Want to Go Up, We Have to Get On", prophets,10,1978,https://www.churchofjesuschrist.org/general-conference/1978/10/if-we-want-to-go-up-we-have-to-get-on?lang=eng
Mark E. Petersen,“Evidence of Things Not Seen”, prophets,04,1978,https://www.churchofjesuschrist.org/general-conference/1978/04/evidence-of-things-not-seen?lang=eng
LeGrand Richards,The Second Coming of Christ, prophets,04,1978,https://www.churchofjesuschrist.org/general-conference/1978/04/the-second-coming-of-christ?lang=eng
Spencer W. Kimball,Listen to the Prophets, prophets,04,1978,https://www.churchofjesuschrist.org/general-conference/1978/04/listen-to-the-prophets?lang=eng
William Grant Bangerter,A Special Moment in Church History, prophets,10,1977,https://www.churchofjesuschrist.org/general-conference/1977/10/a-special-moment-in-church-history?lang=eng
Victor L. Brown,Follow the Living Prophet, prophets,04,1977,https://www.churchofjesuschrist.org/general-conference/1977/04/follow-the-living-prophet?lang=eng
Spencer W. Kimball,Revelation: The Word of the Lord to His Prophets, prophets,04,1977,https://www.churchofjesuschrist.org/general-conference/1977/04/revelation-the-word-of-the-lord-to-his-prophets?lang=eng
Spencer W. Kimball,Seeking Eternal Riches, prophets,04,1976,https://www.churchofjesuschrist.org/general-conference/1976/04/seeking-eternal-riches?lang=eng
Loren C. Dunn,A Living Prophet, prophets,04,1976,https://www.churchofjesuschrist.org/general-conference/1976/04/a-living-prophet?lang=eng
Hartman Rector Jr.,The World’s Greatest Need, prophets,10,1975,https://www.churchofjesuschrist.org/general-conference/1975/10/the-worlds-greatest-need?lang=eng
LeGrand Richards,Prophets and Prophecy, prophets,10,1975,https://www.churchofjesuschrist.org/general-conference/1975/10/prophets-and-prophecy?lang=eng
Mark E. Petersen,The People Say “Amen”, prophets,04,1974,https://www.churchofjesuschrist.org/general-conference/1974/04/the-people-say-amen?lang=eng
Spencer W. Kimball,What Do We Hear?, prophets,04,1974,https://www.churchofjesuschrist.org/general-conference/1974/04/what-do-we-hear?lang=eng
Harold B. Lee,Closing Remarks, prophets,10,1973,https://www.churchofjesuschrist.org/general-conference/1973/10/closing-remarks?lang=eng
A. Theodore Tuttle,What Is a Living Prophet?, prophets,04,1973,https://www.churchofjesuschrist.org/general-conference/1973/04/what-is-a-living-prophet?lang=eng
Mark E. Petersen,Another Prophet Now Has Come!, prophets,10,1972,https://www.churchofjesuschrist.org/general-conference/1972/10/another-prophet-now-has-come?lang=eng
Ezra Taft Benson,Listen to a Prophet’s Voice, prophets,10,1972,https://www.churchofjesuschrist.org/general-conference/1972/10/listen-to-a-prophets-voice?lang=eng
Spencer W. Kimball,"“We Thank Thee, O God, for a Prophet”", prophets,10,1972,https://www.churchofjesuschrist.org/general-conference/1972/10/we-thank-thee-o-god-for-a-prophet?lang=eng
N. Eldon Tanner,Warnings from Outer Space, prophets,10,1972,https://www.churchofjesuschrist.org/general-conference/1972/10/warnings-from-outer-space?lang=eng
Mark E. Petersen,A People of Sound Judgment, prophets,04,1972,https://www.churchofjesuschrist.org/general-conference/1972/04/a-people-of-sound-judgment?lang=eng
Vaughn J. Featherstone,A Challenge to the Priesthood, prophets,04,1972,https://www.churchofjesuschrist.org/general-conference/1972/04/a-challenge-to-the-priesthood?lang=eng
Marion G. Romney,“The Light Shineth”, prophets,10,1971,https://www.churchofjesuschrist.org/general-conference/1971/10/the-light-shineth?lang=eng
D. Todd Christofferson,Sustainable Societies, religion,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/22christofferson?lang=eng
Gordon B. Hinckley,The Times in Which We Live, religion,10,2001,https://www.churchofjesuschrist.org/general-conference/2001/10/the-times-in-which-we-live?lang=eng
Earl C. Tingey,The Widows of Zion, religion,04,2000,https://www.churchofjesuschrist.org/general-conference/2000/04/the-widows-of-zion?lang=eng
Gordon B. Hinckley,A Time of New Beginnings, religion,04,2000,https://www.churchofjesuschrist.org/general-conference/2000/04/a-time-of-new-beginnings?lang=eng
Gordon B. Hinckley,We Bear Witness of Him, religion,04,1998,https://www.churchofjesuschrist.org/general-conference/1998/04/we-bear-witness-of-him?lang=eng
Marvin J. Ashton,Pure Religion, religion,10,1982,https://www.churchofjesuschrist.org/general-conference/1982/10/pure-religion?lang=eng
Howard W. Hunter,Spiritual Famine, religion,10,1972,https://www.churchofjesuschrist.org/general-conference/1972/10/spiritual-famine?lang=eng
Bruce R. McConkie,The Lord’s People Receive Revelation, religion,04,1971,https://www.churchofjesuschrist.org/general-conference/1971/04/the-lords-people-receive-revelation?lang=eng
Steven J. Lund,Finding Joy in Christ, service,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/23lund?lang=eng
Carlos A. Godoy,I Believe in Angels, service,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/44godoy?lang=eng
Michelle D. Craig,Eyes to See, service,10,2020,https://www.churchofjesuschrist.org/general-conference/2020/10/14craig?lang=eng
D. Todd Christofferson,The Joy of the Saints, service,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/14christofferson?lang=eng
Russell M. Nelson,The Second Great Commandment, service,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/46nelson?lang=eng
Henry B. Eyring,Covenant Women in Partnership with God, service,10,2019,https://www.churchofjesuschrist.org/general-conference/2019/10/34eyring?lang=eng
W. Christopher Waddell,Just as He Did, service,04,2019,https://www.churchofjesuschrist.org/general-conference/2019/04/15waddell?lang=eng
Michelle D. Craig,Divine Discontent, service,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/divine-discontent?lang=eng
Gerrit W. Gong,Our Campfire of Faith, service,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/our-campfire-of-faith?lang=eng
Robert C. Gay,Taking upon Ourselves the Name of Jesus Christ, service,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/taking-upon-ourselves-the-name-of-jesus-christ?lang=eng
Joy D. Jones,For Him, service,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/for-him?lang=eng
Cristina B. Franco,The Joy of Unselfish Service, service,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/the-joy-of-unselfish-service?lang=eng
Bonnie H. Cordon,Becoming a Shepherd, service,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/becoming-a-shepherd?lang=eng
Henry B. Eyring,"Try, Try, Try", service,10,2018,https://www.churchofjesuschrist.org/general-conference/2018/10/try-try-try?lang=eng
Russell M. Nelson,Introductory Remarks, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/introductory-remarks?lang=eng
Jeffrey R. Holland,“Be With and Strengthen Them”, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/be-with-and-strengthen-them?lang=eng
D. Todd Christofferson,The Elders Quorum, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/the-elders-quorum?lang=eng
Russell M. Nelson,Ministering with the Power and Authority of God, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/ministering-with-the-power-and-authority-of-god?lang=eng
Henry B. Eyring,Inspired Ministering, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/inspired-ministering?lang=eng
M. Russell Ballard,Precious Gifts from God, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/precious-gifts-from-god?lang=eng
Bonnie L. Oscarson,Young Women in the Work, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/young-women-in-the-work?lang=eng
Massimo De Feo,Pure Love: The True Sign of Every True Disciple of Jesus Christ, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/pure-love-the-true-sign-of-every-true-disciple-of-jesus-christ?lang=eng
Reyna I. Aburto,With One Accord, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/with-one-accord?lang=eng
Jean B. Bingham,Ministering as the Savior Does, service,04,2018,https://www.churchofjesuschrist.org/general-conference/2018/04/ministering-as-the-savior-does?lang=eng
Dieter F. Uchtdorf,A Yearning for Home, service,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/a-yearning-for-home?lang=eng
Dieter F. Uchtdorf,Bearers of Heavenly Light, service,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/bearers-of-heavenly-light?lang=eng
John C. Pingree Jr.,“I Have a Work for Thee”, service,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/i-have-a-work-for-thee?lang=eng
Henry B. Eyring,Fear Not to Do Good, service,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/fear-not-to-do-good?lang=eng
D. Todd Christofferson,The Living Bread Which Came Down from Heaven, service,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/the-living-bread-which-came-down-from-heaven?lang=eng
José L. Alonso,Love One Another as He Has Loved Us, service,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/love-one-another-as-he-has-loved-us?lang=eng
Bonnie L. Oscarson,The Needs before Us, service,10,2017,https://www.churchofjesuschrist.org/general-conference/2017/10/the-needs-before-us?lang=eng
Gérald Caussé,Prepare the Way, service,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/prepare-the-way?lang=eng
Dieter F. Uchtdorf,The Greatest among You, service,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/the-greatest-among-you?lang=eng
Henry B. Eyring,“My Peace I Leave with You”, service,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/my-peace-i-leave-with-you?lang=eng
Bonnie H. Cordon,Trust in the Lord and Lean Not, service,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/trust-in-the-lord-and-lean-not?lang=eng
Henry B. Eyring,“Walk with Me”, service,04,2017,https://www.churchofjesuschrist.org/general-conference/2017/04/walk-with-me?lang=eng
Henry B. Eyring,That He May Become Strong Also, service,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/that-he-may-become-strong-also?lang=eng
Carl B. Cook,Serve, service,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/serve?lang=eng
Robert D. Hales,"“Come, Follow Me” by Practicing Christian Love and Service", service,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/come-follow-me-by-practicing-christian-love-and-service?lang=eng
Jeffrey R. Holland,Emissaries to the Church, service,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/emissaries-to-the-church?lang=eng
David A. Bednar,“If Ye Had Known Me”, service,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/if-ye-had-known-me?lang=eng
Dieter F. Uchtdorf,Learn from Alma and Amulek, service,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/learn-from-alma-and-amulek?lang=eng
Kazuhiko Yamashita,Be Ambitious for Christ, service,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/be-ambitious-for-christ?lang=eng
Henry B. Eyring,Gratitude on the Sabbath Day, service,10,2016,https://www.churchofjesuschrist.org/general-conference/2016/10/gratitude-on-the-sabbath-day?lang=eng
Patrick Kearon,Refuge from the Storm, service,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/refuge-from-the-storm?lang=eng
Stephen W. Owen,The Greatest Leaders Are the Greatest Followers, service,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/the-greatest-leaders-are-the-greatest-followers?lang=eng
Kent F. Richards,The Power of Godliness, service,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/the-power-of-godliness?lang=eng
Russell M. Nelson,The Price of Priesthood Power, service,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/the-price-of-priesthood-power?lang=eng
Henry B. Eyring,Trust in That Spirit Which Leadeth to Do Good, service,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/trust-in-that-spirit-which-leadeth-to-do-good?lang=eng
Cheryl A. Esplin,He Asks Us to Be His Hands, service,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/he-asks-us-to-be-his-hands?lang=eng
Linda K. Burton,“I Was a Stranger”, service,04,2016,https://www.churchofjesuschrist.org/general-conference/2016/04/i-was-a-stranger?lang=eng
Carol F. McConkie,Here to Serve a Righteous Cause, service,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/here-to-serve-a-righteous-cause?lang=eng
Rosemary M. Wixom,Discovering the Divinity Within, service,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/discovering-the-divinity-within?lang=eng
Henry B. Eyring,You Are Not Alone in the Work, service,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/you-are-not-alone-in-the-work?lang=eng
Dale G. Renlund,Through God’s Eyes, service,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/through-gods-eyes?lang=eng
Hugo Montoya,Tested and Tempted—but Helped, service,10,2015,https://www.churchofjesuschrist.org/general-conference/2015/10/tested-and-tempted-but-helped?lang=eng
Dieter F. Uchtdorf,On Being Genuine, service,04,2015,https://www.churchofjesuschrist.org/general-conference/2015/04/on-being-genuine?lang=eng
Henry B. Eyring,Priesthood and Personal Prayer, service,04,2015,https://www.churchofjesuschrist.org/general-conference/2015/04/priesthood-and-personal-prayer?lang=eng
Michael T. Ringwood,Truly Good and without Guile, service,04,2015,https://www.churchofjesuschrist.org/general-conference/2015/04/truly-good-and-without-guile?lang=eng
Henry B. Eyring,“Is Not This the Fast That I Have Chosen?”, service,04,2015,https://www.churchofjesuschrist.org/general-conference/2015/04/is-not-this-the-fast-that-i-have-chosen?lang=eng
Joseph W. Sitati,"Be Fruitful, Multiply, and Subdue the Earth", service,04,2015,https://www.churchofjesuschrist.org/general-conference/2015/04/be-fruitful-multiply-and-subdue-the-earth?lang=eng
Thomas S. Monson,Until We Meet Again, service,10,2014,https://www.churchofjesuschrist.org/general-conference/2014/10/until-we-meet-again?lang=eng
Dean M. Davies,The Law of the Fast: A Personal Responsibility to Care for the Poor and Needy, service,10,2014,https://www.churchofjesuschrist.org/general-conference/2014/10/the-law-of-the-fast-a-personal-responsibility-to-care-for-the-poor-and-needy?lang=eng
Hugo E. Martinez,Our Personal Ministries, service,10,2014,https://www.churchofjesuschrist.org/general-conference/2014/10/our-personal-ministries?lang=eng
Henry B. Eyring,The Preparatory Priesthood, service,10,2014,https://www.churchofjesuschrist.org/general-conference/2014/10/the-preparatory-priesthood?lang=eng
Dieter F. Uchtdorf,Living the Gospel Joyful, service,10,2014,https://www.churchofjesuschrist.org/general-conference/2014/10/living-the-gospel-joyful?lang=eng
Donald L. Hallstrom,What Manner of Men?, service,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/what-manner-of-men?lang=eng
Bonnie L. Oscarson,"Sisterhood: Oh, How We Need Each Other", service,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/sisterhood-oh-how-we-need-each-other?lang=eng
Richard G. Scott,“I Have Given You an Example”, service,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/i-have-given-you-an-example?lang=eng
Henry B. Eyring,The Priesthood Man, service,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/the-priesthood-man?lang=eng
Ronald A. Rasband,The Joyful Burden of Discipleship, service,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/the-joyful-burden-of-discipleship?lang=eng
Linda K. Burton,Wanted: Hands and Hearts to Hasten the Work, service,04,2014,https://www.churchofjesuschrist.org/general-conference/2014/04/wanted-hands-and-hearts-to-hasten-the-work?lang=eng
Linda K. Burton,"The Power, Joy, and Love of Covenant Keeping", service,10,2013,https://www.churchofjesuschrist.org/general-conference/2013/10/the-power-joy-and-love-of-covenant-keeping?lang=eng
Henry B. Eyring,Bind Up Their Wounds, service,10,2013,https://www.churchofjesuschrist.org/general-conference/2013/10/bind-up-their-wounds?lang=eng
Henry B. Eyring,“Come unto Me”, service,04,2013,https://www.churchofjesuschrist.org/general-conference/2013/04/come-unto-me?lang=eng
David L. Beck,Your Sacred Duty to Minister, service,04,2013,https://www.churchofjesuschrist.org/general-conference/2013/04/your-sacred-duty-to-minister?lang=eng
Dieter F. Uchtdorf,Four Titles, service,04,2013,https://www.churchofjesuschrist.org/general-conference/2013/04/four-titles?lang=eng
D. Todd Christofferson,Redemption, service,04,2013,https://www.churchofjesuschrist.org/general-conference/2013/04/redemption?lang=eng
Henry B. Eyring,Where Is the Pavilion?, service,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/where-is-the-pavilion?lang=eng
Craig C. Christensen,An Unspeakable Gift from God, service,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/an-unspeakable-gift-from-god?lang=eng
Dieter F. Uchtdorf,The Joy of the Priesthood, service,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/the-joy-of-the-priesthood?lang=eng
Thomas S. Monson,God Be with You Till We Meet Again, service,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/god-be-with-you-till-we-meet-again?lang=eng
Daniel L. Johnson,Becoming a True Disciple, service,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/becoming-a-true-disciple?lang=eng
Linda K. Burton,"First Observe, Then Serve", service,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/first-observe-then-serve?lang=eng
Henry B. Eyring,The Caregiver, service,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/the-caregiver?lang=eng
M. Russell Ballard,Be Anxiously Engaged, service,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/be-anxiously-engaged?lang=eng
Carole M. Stephens,Wide Awake to Our Duties, service,10,2012,https://www.churchofjesuschrist.org/general-conference/2012/10/wide-awake-to-our-duties?lang=eng
Ronald A. Rasband,Special Lessons, service,04,2012,https://www.churchofjesuschrist.org/general-conference/2012/04/special-lessons?lang=eng
Robert D. Hales,"Coming to Ourselves: The Sacrament, the Temple, and Sacrifice in Service", service,04,2012,https://www.churchofjesuschrist.org/general-conference/2012/04/coming-to-ourselves-the-sacrament-the-temple-and-sacrifice-in-service?lang=eng
Dallin H. Oaks,Sacrifice, service,04,2012,https://www.churchofjesuschrist.org/general-conference/2012/04/sacrifice?lang=eng
Thomas S. Monson,Willing and Worthy to Serve, service,04,2012,https://www.churchofjesuschrist.org/general-conference/2012/04/willing-and-worthy-to-serve?lang=eng
Julie B. Beck,"The Vision of Prophets regarding Relief Society: Faith, Family, Relief", service,04,2012,https://www.churchofjesuschrist.org/general-conference/2012/04/the-vision-of-prophets-regarding-relief-society-faith-family-relief?lang=eng
Dieter F. Uchtdorf,The Why of Priesthood Service, service,04,2012,https://www.churchofjesuschrist.org/general-conference/2012/04/the-why-of-priesthood-service?lang=eng
Henry B. Eyring,Preparation in the Priesthood: “I Need Your Help”, service,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/preparation-in-the-priesthood-i-need-your-help?lang=eng
Henry B. Eyring,A Witness, service,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/a-witness?lang=eng
José L. Alonso,"Doing the Right Thing at the Right Time, without Delay", service,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/doing-the-right-thing-at-the-right-time-without-delay?lang=eng
Silvia H. Allred,Charity Never Faileth, service,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/charity-never-faileth?lang=eng
W. Christopher Waddell,The Opportunity of a Lifetime, service,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/the-opportunity-of-a-lifetime?lang=eng
Dieter F. Uchtdorf,Providing in the Lord’s Way, service,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/providing-in-the-lords-way?lang=eng
Keith B. McMullin,The Power of the Aaronic Priesthood, service,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/the-power-of-the-aaronic-priesthood?lang=eng
Silvia H. Allred,The Essence of Discipleship, service,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/the-essence-of-discipleship?lang=eng
Dieter F. Uchtdorf,"Your Potential, Your Privilege", service,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/your-potential-your-privilege?lang=eng
Henry B. Eyring,Learning in the Priesthood, service,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/learning-in-the-priesthood?lang=eng
H. David Burton,The Sanctifying Work of Welfare, service,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/the-sanctifying-work-of-welfare?lang=eng
Henry B. Eyring,Opportunities to Do Good, service,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/opportunities-to-do-good?lang=eng
M. Russell Ballard,Finding Joy through Loving Service, service,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/finding-joy-through-loving-service?lang=eng
